path=challenges/meta_atom_library/solutions/241024_mfschubert_6f4a429e600138d3603d047dd037131d91b7ea7c33c7954cb59f900e6eaa11bc.json, eval_metric=0.9359359388060169, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0, metagrating_average_efficiency=0.785302686167871, metagrating_average_relative_efficiency=0.9746246850351705
path=challenges/meta_atom_library/solutions/241024_mfschubert_80373b65dbb386a62a687ba8641a00ec1145631f9b76969d0b6d9a5d0e4c0e0b.json, eval_metric=0.887730134432685, minimum_width=17.0, minimum_spacing=24.0, binarization_degree=1.0, metagrating_average_efficiency=0.7481418721987568, metagrating_average_relative_efficiency=0.9214586737497242
path=challenges/meta_atom_library/solutions/241024_mfschubert_81b52336589b63429a6a320b8bbacc0419142c41c12bd1b15a9467cdad212e1f.json, eval_metric=0.9503860631766864, minimum_width=10.0, minimum_spacing=11.0, binarization_degree=1.0, metagrating_average_efficiency=0.7729528313383892, metagrating_average_relative_efficiency=0.9752666485779473
path=challenges/meta_atom_library/solutions/241024_mfschubert_9786ca58c5b6d1cc03082e2249ba2efc0bfea2fd2dba91b04500f3a0935a7c2b.json, eval_metric=0.9371611570939852, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0, metagrating_average_efficiency=0.7769361463082948, metagrating_average_relative_efficiency=0.960348412617472
path=challenges/meta_atom_library/solutions/241024_mfschubert_9796b562f3885db2952c3fbcd66b387ec160da2b40ba04c20b35438046de0fdc.json, eval_metric=0.8686807974875214, minimum_width=24.0, minimum_spacing=80.0, binarization_degree=1.0, metagrating_average_efficiency=0.7113334864423954, metagrating_average_relative_efficiency=0.8937209337787311
path=challenges/meta_atom_library/solutions/241024_mfschubert_99c01520271861a42c8523565a6271907bef40528ae2fed2a6ed5e409f11c24f.json, eval_metric=0.8734013023863452, minimum_width=20.0, minimum_spacing=28.0, binarization_degree=1.0, metagrating_average_efficiency=0.7325438092721674, metagrating_average_relative_efficiency=0.9090551260137327
path=challenges/meta_atom_library/solutions/241024_mfschubert_9be460dbb8e779a740d1af69dd3c6bba297da7c908cb1eea6cefb6246cccc9f2.json, eval_metric=0.8724911307813752, minimum_width=17.0, minimum_spacing=21.0, binarization_degree=1.0, metagrating_average_efficiency=0.731208677358607, metagrating_average_relative_efficiency=0.9217806282837335
path=challenges/meta_atom_library/solutions/241024_mfschubert_a522d59bd3da6f788398482bf559d58ef86530bf8ed491b602087d2d64ac6c86.json, eval_metric=0.9513925529655229, minimum_width=10.0, minimum_spacing=11.0, binarization_degree=1.0, metagrating_average_efficiency=0.784097606096837, metagrating_average_relative_efficiency=0.9738399752079235
path=challenges/meta_atom_library/solutions/241024_mfschubert_a5cc9f3ccf7caa52d5ff844226930b354e0da2de7ee2ee38ce8ccc8acbf18211.json, eval_metric=0.9492567470027331, minimum_width=9.0, minimum_spacing=14.0, binarization_degree=1.0, metagrating_average_efficiency=0.7807147583378128, metagrating_average_relative_efficiency=0.9744667089152683
path=challenges/meta_atom_library/solutions/241024_mfschubert_b13d02d37b35cc80b33977c1923df1d3b159708bd625be3013017252a3a1a497.json, eval_metric=0.9203231427572841, minimum_width=9.0, minimum_spacing=14.0, binarization_degree=1.0, metagrating_average_efficiency=0.7521303355551823, metagrating_average_relative_efficiency=0.960240167661259
path=challenges/meta_atom_library/solutions/241024_mfschubert_b18adb2900884f459aef3b0aa1c0bcce898138cafd349eb7d53a9a245c061e82.json, eval_metric=0.910124117110806, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0, metagrating_average_efficiency=0.7698680764548026, metagrating_average_relative_efficiency=0.9483780416954058
path=challenges/meta_atom_library/solutions/241024_mfschubert_b7b59f368a49956ab7748fccb0ad75f63a9fa75eb38d2040b79040a44652eee6.json, eval_metric=0.8656364941541771, minimum_width=17.0, minimum_spacing=21.0, binarization_degree=1.0, metagrating_average_efficiency=0.7225930537786571, metagrating_average_relative_efficiency=0.9083233400261462
path=challenges/meta_atom_library/solutions/241024_mfschubert_ba245acc92e6049f213103e03fee6d6557a47512a228fadc596a52cc5cf6e849.json, eval_metric=0.8773586559034297, minimum_width=22.0, minimum_spacing=80.0, binarization_degree=1.0, metagrating_average_efficiency=0.7133915206589555, metagrating_average_relative_efficiency=0.9016545545561072
path=challenges/meta_atom_library/solutions/241024_mfschubert_bbbaa079fad283f5e68cd5a8ab9f571f7086a0e317482fc5cb8ea37fec298e35.json, eval_metric=0.9090146704859295, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0, metagrating_average_efficiency=0.7758317741902107, metagrating_average_relative_efficiency=0.95576679198079
path=challenges/meta_atom_library/solutions/241024_mfschubert_c22b3dec50276af38283ef9b4320b1493e827e98a5bad885f83f16c88ae3ae3e.json, eval_metric=0.9005383617280116, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0, metagrating_average_efficiency=0.7654269677451602, metagrating_average_relative_efficiency=0.9515232808296219
path=challenges/meta_atom_library/solutions/241024_mfschubert_c61a95ac1863c95de7dae5ae154862f8bbed453a83112814a09e9e4de6da2cfa.json, eval_metric=0.9063650370067118, minimum_width=12.0, minimum_spacing=13.0, binarization_degree=1.0, metagrating_average_efficiency=0.7732774297396523, metagrating_average_relative_efficiency=0.9578771145213785
path=challenges/meta_atom_library/solutions/241024_mfschubert_c86efb7bd94f77976f5236bc33b5b787f0277cd076e09f4fb93a628b3b214f4d.json, eval_metric=0.8605516357154168, minimum_width=17.0, minimum_spacing=21.0, binarization_degree=1.0, metagrating_average_efficiency=0.7168451640692238, metagrating_average_relative_efficiency=0.8934494834992684
path=challenges/meta_atom_library/solutions/241024_mfschubert_cac8388cbb47a0ee342c531097808caceb67d0f6dc00436a2cbee403009f05fc.json, eval_metric=0.917529942187553, minimum_width=12.0, minimum_spacing=16.0, binarization_degree=1.0, metagrating_average_efficiency=0.7598692844827858, metagrating_average_relative_efficiency=0.9505963736285624
path=challenges/meta_atom_library/solutions/241024_mfschubert_d3330fbf7ec3fdc65868d6d050a8762c14f807c6563fbd882eadecc52d570a53.json, eval_metric=0.945695868249671, minimum_width=10.0, minimum_spacing=12.0, binarization_degree=1.0, metagrating_average_efficiency=0.785344772382983, metagrating_average_relative_efficiency=0.9771886366167123
path=challenges/meta_atom_library/solutions/241024_mfschubert_d70dcc61b11f75b14aee9c606ccbdee633b8b8e958f8b31421aabcc4dcfefa93.json, eval_metric=0.9337497614984545, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0, metagrating_average_efficiency=0.7946324925959722, metagrating_average_relative_efficiency=0.9719463257008609
path=challenges/meta_atom_library/solutions/241024_mfschubert_e5f449e24b6040e33b4ab561386aa2a0c499cf27b7e5c700de6325f5418b74fa.json, eval_metric=0.8826487773265874, minimum_width=21.0, minimum_spacing=32.0, binarization_degree=1.0, metagrating_average_efficiency=0.6843724013115497, metagrating_average_relative_efficiency=0.9005975134595513
path=challenges/meta_atom_library/solutions/241024_mfschubert_f2b78c5e7aa8d81908f76d7a6e337cc1d5f89a9994dd5e5e4ad244913514b280.json, eval_metric=0.9463524968828109, minimum_width=10.0, minimum_spacing=12.0, binarization_degree=1.0, metagrating_average_efficiency=0.7997622003406255, metagrating_average_relative_efficiency=0.9741854553264712
