path=challenges/diffractive_splitter/solutions/240413_mfschubert_7b1fc827bd02f848a40173bbf6a8469d7e2ec825798fde4be5eb7cbc4dab3026.json, eval_metric=0.5771925396143818, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013711298849859825, binarization_degree=1.0, min_efficiency=0.012008910878048791, total_efficiency=0.6718536436431315, uniformity_error=0.14089542406207572, uniformity_error_without_zeroth_order=0.14089542406207572, zeroth_order_efficiency=0.013514629942355956, zeroth_order_error=-0.014343565088720976
path=challenges/diffractive_splitter/solutions/240413_mfschubert_8a5f32b51bc2d54581e63e64ba1b476bd82f8516e911bd45475340b871c1ebda.json, eval_metric=0.5049631746487597, minimum_width=19.0, minimum_spacing=17.0, average_efficiency=0.014337657109238552, binarization_degree=1.0, min_efficiency=0.011747254874161782, total_efficiency=0.7025451983526891, uniformity_error=0.28123745513771203, uniformity_error_without_zeroth_order=0.19356208360441113, zeroth_order_efficiency=0.02094018817119754, zeroth_order_error=0.46050278728625815
path=challenges/diffractive_splitter/solutions/240413_mfschubert_8d45bcf673d167db063065dab04b82a527a1e39e816e984c4ff3b4597ddc525a.json, eval_metric=0.5388501339468347, minimum_width=22.0, minimum_spacing=17.0, average_efficiency=0.014346031801982689, binarization_degree=1.0, min_efficiency=0.011459335624077359, total_efficiency=0.7029555582971518, uniformity_error=0.23345063910988656, uniformity_error_without_zeroth_order=0.22048905845781203, zeroth_order_efficiency=0.01843915809006737, zeroth_order_error=0.2853141791808235
path=challenges/diffractive_splitter/solutions/240413_mfschubert_9052d9ce11a7c302a24f1997925bfd78bb2f6d925f4662f4a703162240071ec6.json, eval_metric=0.5275044195401266, minimum_width=15.0, minimum_spacing=15.0, average_efficiency=0.013579700096219971, binarization_degree=1.0, min_efficiency=0.011212662743396863, total_efficiency=0.6654053047147787, uniformity_error=0.20724344124933336, uniformity_error_without_zeroth_order=0.20724344124933336, zeroth_order_efficiency=0.013543192694384565, zeroth_order_error=-0.002688380566340267
path=challenges/diffractive_splitter/solutions/240413_mfschubert_9060aca2625d7fd1bb87178de31e866090491d79aefd03a00b760852e3761956.json, eval_metric=0.5642372479438855, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.012641245577730937, binarization_degree=1.0, min_efficiency=0.011637896129158313, total_efficiency=0.6194210333088159, uniformity_error=0.08908929855053556, uniformity_error_without_zeroth_order=0.08908929855053556, zeroth_order_efficiency=0.012921759073543254, zeroth_order_error=0.022190336710685845
path=challenges/diffractive_splitter/solutions/240413_mfschubert_a7ed615a6d37f83519b02367ed227c0c826ad7492080617b1c6b384b7c12d294.json, eval_metric=0.5718651200107232, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.014121671273910438, binarization_degree=1.0, min_efficiency=0.011306882863599635, total_efficiency=0.6919618924216115, uniformity_error=0.173559806871147, uniformity_error_without_zeroth_order=0.173559806871147, zeroth_order_efficiency=0.012793435240807817, zeroth_order_error=-0.09405657498602989
path=challenges/diffractive_splitter/solutions/240413_mfschubert_ad716b6f586febf0c6b6e21ca52181d6a0e648c7796624fe4cf4bd2c3ec3c1ad.json, eval_metric=0.4990400361615747, minimum_width=15.0, minimum_spacing=15.0, average_efficiency=0.013517462670089402, binarization_degree=1.0, min_efficiency=0.009601550376476314, total_efficiency=0.6623556708343807, uniformity_error=0.2465678816746213, uniformity_error_without_zeroth_order=0.2465678816746213, zeroth_order_efficiency=0.013262445479675096, zeroth_order_error=-0.01886575880683523
path=challenges/diffractive_splitter/solutions/240413_mfschubert_b3e48cc6915ab8a4f506381a24f01c60a2c13e3676e4b509a285abdc31538959.json, eval_metric=0.5798679087285318, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.012419378337113752, binarization_degree=1.0, min_efficiency=0.011793217015238179, total_efficiency=0.6085495385185739, uniformity_error=0.047131133908775026, uniformity_error_without_zeroth_order=0.04548862298319455, zeroth_order_efficiency=0.012959857484121378, zeroth_order_error=0.04351901780723376
path=challenges/diffractive_splitter/solutions/240413_mfschubert_ba86cdee2ff56eb6602b30bc0a87c995d6d4924cdd06fee0e949a9da3590d789.json, eval_metric=0.5736033368958786, minimum_width=15.0, minimum_spacing=15.0, average_efficiency=0.014039231067119271, binarization_degree=1.0, min_efficiency=0.011653279525826375, total_efficiency=0.6879223222888443, uniformity_error=0.1661800783155362, uniformity_error_without_zeroth_order=0.1661800783155362, zeroth_order_efficiency=0.013250884001225371, zeroth_order_error=-0.056153151274805656
path=challenges/diffractive_splitter/solutions/240413_mfschubert_c4aaad9e26bbe3d60e925f8e1cdbc99b4f786df57f45b4190ea088ae8f8c3389.json, eval_metric=0.5202509661108414, minimum_width=19.0, minimum_spacing=17.0, average_efficiency=0.014317425414839189, binarization_degree=1.0, min_efficiency=0.01176039249060028, total_efficiency=0.7015538453271203, uniformity_error=0.2584304546598856, uniformity_error_without_zeroth_order=0.20386196225021525, zeroth_order_efficiency=0.01995717888082512, zeroth_order_error=0.3939083531135878
path=challenges/diffractive_splitter/solutions/240413_mfschubert_effdfe05b2c14c4ddea969f0d98efcce1ec299bf571665bf7384d7ef24378e42.json, eval_metric=0.5726492492726339, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.014942686563857341, binarization_degree=1.0, min_efficiency=0.011273335212390866, total_efficiency=0.7321916416290097, uniformity_error=0.217897041273811, uniformity_error_without_zeroth_order=0.217897041273811, zeroth_order_efficiency=0.012877483313000693, zeroth_order_error=-0.13820829621440786
path=challenges/diffractive_splitter/solutions/240413_mfschubert_f2e31f79943445c7405c2b285c8d4ed0c125c11e7708827ad4db5cb0fddf5f31.json, eval_metric=0.5867753924678818, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013577948155553802, binarization_degree=1.0, min_efficiency=0.01222748854535745, total_efficiency=0.6653194596221363, uniformity_error=0.11805466684961101, uniformity_error_without_zeroth_order=0.10560751178314719, zeroth_order_efficiency=0.015500961474735628, zeroth_order_error=0.14162768167554493
